"category","name","source_url","local_path","status","notes","bytes","sha256","accessed_at"
"official-tools","ACE III scoring UK 2017","https://www.sydney.edu.au/content/dam/corporate/documents/brain-and-mind-centre/june19/ACE-III%20ScoringUK2017.pdf","C:\project\saerok-memory\cognitve-reference\official-tools\ace_iii_scoring_uk_2017.pdf","downloaded_pdf","PDF signature verified during final validation.","646513","58CBDF72A74293614047F56BC134CC4F069347BBB052B86400AD53257770DA2B","2026-05-23T17:24:18"
"papers","Brodaty 2002 GPCOG original paper","https://gpcog.com.au/uploads/ckfinder/userfiles/files/Brodaty2002%20The%20GPCOG.pdf","C:\project\saerok-memory\cognitve-reference\papers\brodaty_2002_gpcog.pdf","downloaded_pdf","PDF signature verified during final validation.","111517","358817A51C3F0D89DAC406FAE7A59E36BA30BFAA5708D26038839AD88FAB4C35","2026-05-23T17:24:18"
"papers","Julayanont 2013 MoCA review","https://www.concordia.ca/content/dam/artsci/research/caplab/docs/Julayanontetal2013MoCAreview.pdf","C:\project\saerok-memory\cognitve-reference\papers\julayanont_2013_moca_review.pdf","downloaded_pdf","PDF signature verified during final validation.","332881","721E5276D9CE9628DDF2EBC7A0AF87C03A0A327D64576352500470D3B641D7BE","2026-05-23T17:24:18"
"papers","TMT norms PDF","https://www.ianindia.org/uploads/files/TMT.norms.pdf","C:\project\saerok-memory\cognitve-reference\papers\tmt_norms_ianindia.pdf","downloaded_pdf","PDF signature verified during final validation.","471382","876B37905D42B25EA2F81DF194365EC30C2F1F290886FCF6089AD230720E9FB2","2026-05-23T17:24:18"
"papers","Stroop review PMC5388755","https://europepmc.org/articles/PMC5388755?pdf=render","C:\project\saerok-memory\cognitve-reference\papers\pmc5388755_stroop_review.pdf","downloaded_pdf","PDF downloaded from Europe PMC render endpoint; signature verified.","512907","87043FE4ED5AF1E97619884DCDBC1F8C16AD24B0DEABE58CEFAE57A8AE3CCB1D","2026-05-23T17:24:18"
"papers","Clock Drawing history review PMC5619209","https://europepmc.org/articles/PMC5619209?pdf=render","C:\project\saerok-memory\cognitve-reference\papers\pmc5619209_clock_drawing_history_review.pdf","downloaded_pdf","PDF downloaded from Europe PMC render endpoint; signature verified.","195774","18C17A5C79A62EACC70D605371F6F1483926836582C81DDE26637790CA4E542B","2026-05-23T17:24:18"
"papers","Five Word Test validation PMC5632878","https://europepmc.org/articles/PMC5632878?pdf=render","C:\project\saerok-memory\cognitve-reference\papers\pmc5632878_five_word_test_validation.pdf","downloaded_pdf","PDF downloaded from Europe PMC render endpoint; signature verified.","730809","B391028E06680F10A6F90F5BA2379D0AC87DC5741E0C2D2EC253897C49CE1E22","2026-05-23T17:24:19"
"papers","NCPT dataset paper PMC9731954","https://europepmc.org/articles/PMC9731954?pdf=render","C:\project\saerok-memory\cognitve-reference\papers\pmc9731954_ncpt_dataset_paper.pdf","downloaded_pdf","PDF downloaded from Europe PMC render endpoint; signature verified.","1108865","F217D1F23E35BEF42FC36A06FEE86DB13284C5F3EAF89B30E14E9DABE701FD1A","2026-05-23T17:24:19"
"data","NCPT Zenodo record metadata","https://zenodo.org/api/records/7249732","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\zenodo_record_7249732.json","downloaded_metadata","Zenodo public record metadata.","13657","D93995FA9C62D30E3F6CBFFF73CD2B787AFF35D3F5EFB20A9E56FEBBF78209E9","2026-05-23T17:24:19"
"data","NCPT dataset file battery14_df.csv","https://zenodo.org/api/records/7249732/files/battery14_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery14_df.csv","downloaded_data","Public Zenodo CSV/norm file.","2938597","9615BF872A49CBE25310B5D83E12D216ABE2B81116A8020BEFD6ED01C45D3A98","2026-05-23T17:24:19"
"data","NCPT dataset file battery17_df.csv","https://zenodo.org/api/records/7249732/files/battery17_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery17_df.csv","downloaded_data","Public Zenodo CSV/norm file.","25088555","6E7455A103B22E4DF7DB810E6A149566A67663D47561FA24D22716339F075F83","2026-05-23T17:24:19"
"data","NCPT dataset file battery39_df.csv","https://zenodo.org/api/records/7249732/files/battery39_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery39_df.csv","downloaded_data","Public Zenodo CSV/norm file.","104965922","0023C337BF131E6676A60C1C210CDB68DAE5E52BDF7F8E13CDDBF1E41CE50E9F","2026-05-23T17:24:19"
"data","NCPT dataset file battery60_norms.csv","https://zenodo.org/api/records/7249732/files/battery60_norms.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery60_norms.csv","downloaded_data","Public Zenodo CSV/norm file.","18585","BF739DAF73F41E3628B336FF80720C7BFA3C71C1679E07C2978FF715DED3770C","2026-05-23T17:24:19"
"data","NCPT dataset file battery32_norms.csv","https://zenodo.org/api/records/7249732/files/battery32_norms.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery32_norms.csv","downloaded_data","Public Zenodo CSV/norm file.","32249","3C07DDEDD9512EE2E2E6C36DBA9A8C814257A283DF82C0CB7245CB5A65F27BF1","2026-05-23T17:24:19"
"data","NCPT dataset file battery50_norms.csv","https://zenodo.org/api/records/7249732/files/battery50_norms.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery50_norms.csv","downloaded_data","Public Zenodo CSV/norm file.","29310","95B81996F054CB064B9B333EE6DC5FD3670FF77044FDD74E774BC5E270535B8E","2026-05-23T17:24:19"
"data","NCPT dataset file battery25_df.csv","https://zenodo.org/api/records/7249732/files/battery25_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery25_df.csv","downloaded_data","Public Zenodo CSV/norm file.","2207370","CBB65F109673F6AB41EFB8B85B2504F64CA8E2D8A59F386BB72A8F1F15EA8633","2026-05-23T17:24:19"
"data","NCPT dataset file battery39_norms.csv","https://zenodo.org/api/records/7249732/files/battery39_norms.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery39_norms.csv","downloaded_data","Public Zenodo CSV/norm file.","29137","C9FEAC52598CDAEAD2EA7148F16490ECED7D5979794E5EC0EA57E5E55A554821","2026-05-23T17:24:19"
"data","NCPT dataset file battery50_df.csv","https://zenodo.org/api/records/7249732/files/battery50_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery50_df.csv","downloaded_data","Public Zenodo CSV/norm file.","139250061","D04CD60F99E31DA910B26F0FC8BFA0394A00B775B2F07D314D6049DA2C01EA52","2026-05-23T17:24:19"
"data","NCPT dataset file battery32_df.csv","https://zenodo.org/api/records/7249732/files/battery32_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery32_df.csv","downloaded_data","Public Zenodo CSV/norm file.","51073531","6D72476A631F4CECDED19258B5B3A72873A26B05719C2B56BA3FE7F5ECEF3123","2026-05-23T17:24:19"
"data","NCPT dataset file battery26_df.csv","https://zenodo.org/api/records/7249732/files/battery26_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery26_df.csv","downloaded_data","Public Zenodo CSV/norm file.","878862","DF32A0F700088DF0B25B2D839D9F74A7FE278C76BEDFDCB737F6839AED30FF64","2026-05-23T17:24:19"
"data","NCPT dataset file battery17_norms.csv","https://zenodo.org/api/records/7249732/files/battery17_norms.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery17_norms.csv","downloaded_data","Public Zenodo CSV/norm file.","22405","660E7DE1326FB849C6FA060C4D3F483BE58705758E0D7A12EF6000D09DA92D52","2026-05-23T17:24:19"
"data","NCPT dataset file battery60_df.csv","https://zenodo.org/api/records/7249732/files/battery60_df.csv/content","C:\project\saerok-memory\cognitve-reference\data\ncpt_zenodo_7249732\battery60_df.csv","downloaded_data","Public Zenodo CSV/norm file.","2772590","D8C5B92B8F1152673A9477E2B3CBDC122318C8A90437E3F0B39E555ACBF2BED3","2026-05-23T17:24:19"
"code","bc-bytes__cognitive-tests","https://github.com/bc-bytes/cognitive-tests","C:\project\saerok-memory\cognitve-reference\code\bc-bytes__cognitive-tests","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","bjoernhandersson__Longitudinal-MoCA","https://github.com/bjoernhandersson/Longitudinal-MoCA","C:\project\saerok-memory\cognitve-reference\code\bjoernhandersson__Longitudinal-MoCA","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","COBsquare__Dementia-Examiner-for-Individuals","https://github.com/COBsquare/Dementia-Examiner-for-Individuals","C:\project\saerok-memory\cognitve-reference\code\COBsquare__Dementia-Examiner-for-Individuals","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","COBsquare__Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","https://github.com/COBsquare/Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","C:\project\saerok-memory\cognitve-reference\code\COBsquare__Digital-Recognition-and-Evaluation-of-the-Clock-Drawing-Test","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","dcajal__cognitive-tests","https://github.com/dcajal/cognitive-tests","C:\project\saerok-memory\cognitve-reference\code\dcajal__cognitive-tests","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","expfactory-experiments__stroop-5min","https://github.com/expfactory-experiments/stroop-5min","C:\project\saerok-memory\cognitve-reference\code\expfactory-experiments__stroop-5min","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","flowersteam__cognitive-testbattery","https://github.com/flowersteam/cognitive-testbattery","C:\project\saerok-memory\cognitve-reference\code\flowersteam__cognitive-testbattery","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","GEJ1__jsPsych_online_TMT","https://github.com/GEJ1/jsPsych_online_TMT","C:\project\saerok-memory\cognitve-reference\code\GEJ1__jsPsych_online_TMT","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","med-material__Trail-it","https://github.com/med-material/Trail-it","C:\project\saerok-memory\cognitve-reference\code\med-material__Trail-it","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","NeuroLIAA__tmt-analysis","https://github.com/NeuroLIAA/tmt-analysis","C:\project\saerok-memory\cognitve-reference\code\NeuroLIAA__tmt-analysis","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","noc-lab__CDT","https://github.com/noc-lab/CDT","C:\project\saerok-memory\cognitve-reference\code\noc-lab__CDT","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","trebledawson__Alzheimers-Clock-Drawing","https://github.com/trebledawson/Alzheimers-Clock-Drawing","C:\project\saerok-memory\cognitve-reference\code\trebledawson__Alzheimers-Clock-Drawing","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"code","triforce4392__MoCA","https://github.com/triforce4392/MoCA","C:\project\saerok-memory\cognitve-reference\code\triforce4392__MoCA","cloned","Public GitHub repository cloned with shallow history for reference only.","1","","2026-05-23T17:24:19"
"web-page","ad8_official.html","https://knightadrc.wustl.edu/professionals-clinicians/ad8-instrument/","C:\project\saerok-memory\cognitve-reference\web-pages\ad8_official.html","saved_html","Public web page saved as HTML evidence.","95390","20281CDB40A285E6F32F03647D830F2F19C283EAF408E65E431E21FF7F0386E3","2026-05-23T17:24:19"
"web-page","cambridge_alzheimers.html","https://cambridgecognition.com/alzheimers/","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_alzheimers.html","saved_html","Public web page saved as HTML evidence.","507541","8CF8878C5EC5871A7BFEA6EAA208249542C56EAA74366913A90AB910185F3CEF","2026-05-23T17:24:19"
"web-page","cambridge_cantab_overview.html","https://cambridgecognition.com/digital-cognitive-assessments/","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_cantab_overview.html","saved_html","Public web page saved as HTML evidence.","473968","75C9209DCB8922549CF62A77AB94D0ACB8F5571A0D04CA2577D4E5CA436CB1C8","2026-05-23T17:24:19"
"web-page","cambridge_pal.html","https://cambridgecognition.com/paired-associates-learning-pal/","C:\project\saerok-memory\cognitve-reference\web-pages\cambridge_pal.html","saved_html","Public web page saved as HTML evidence.","464848","6EA0AC6FAD75A033DF379CAF3BC9A9F8ABC36DB438219B8B62711DD89B61DFBB","2026-05-23T17:24:19"
"web-page","gpcog_home.html","https://gpcog.com.au/","C:\project\saerok-memory\cognitve-reference\web-pages\gpcog_home.html","saved_html","Public web page saved as HTML evidence.","12023","517C883CD9C010E62E2B42011E2E96871E3EC7092D98FC2BEC49F22EF316CBF5","2026-05-23T17:24:19"
"web-page","johns_hopkins_tics.html","https://pure.johnshopkins.edu/en/publications/the-telephone-interview-for-cognitive-status-3/","C:\project\saerok-memory\cognitve-reference\web-pages\johns_hopkins_tics.html","saved_html","Public web page saved as HTML evidence.","41262","36533E643EEDA23F190919497A250BB9FDF363191596EECD033A351F0E1E8DCC","2026-05-23T17:24:19"
"web-page","moca_official.html","https://mocacognition.com/","C:\project\saerok-memory\cognitve-reference\web-pages\moca_official.html","saved_html","Public web page saved as HTML evidence.","130832","701EC45B2857203EF99136256A070F39C6FDB6FB0DF903A38DADE000F8605BDD","2026-05-23T17:24:19"
"web-page","par_mmse_official.html","https://www.parinc.com/products/MMSE","C:\project\saerok-memory\cognitve-reference\web-pages\par_mmse_official.html","saved_html","Public web page saved as HTML evidence.","45699","8D75F1CA5EEF635952EDD9812C87EC4D3974986FE6C45543FE316FAAA90CDE77","2026-05-23T17:24:19"
"web-page","par_ravlt.html","https://www.parinc.com/products/RAVLT","C:\project\saerok-memory\cognitve-reference\web-pages\par_ravlt.html","saved_html","Public web page saved as HTML evidence.","40899","87385D75EF52123AAC1DC24269E2B6A06608E713AFF4E3B2AABED6F63EFAEB0A","2026-05-23T17:24:19"
"web-page","pearson_bnt_normative_request.html","https://pearson.my.site.com/usclinical/s/article/BNT-Administration-Scoring-and-Normative-Data-Request","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_bnt_normative_request.html","saved_html","Public web page saved as HTML evidence.","351446","7AC6C1D7EAD7ED58A53BF32C5CE33FFF829DC65D78DD570D056373724A08DE11","2026-05-23T17:24:19"
"web-page","pearson_cvlt_3.html","https://www.pearsonclinical.co.uk/en-gb/cvlt-ii/California-Verbal-Learning-Test-%7C-Third-Edition/p/P100009129","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_cvlt_3.html","saved_html","Public web page saved as HTML evidence.","75127","A14F4439393309693E00E67106BB04DC5F0BA6C8533DB8969A489C8C1957733C","2026-05-23T17:24:19"
"web-page","pearson_wais_iv.html","https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fourth-Edition/p/100000392","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_wais_iv.html","saved_html","Public web page saved as HTML evidence.","159107","DD08BA64FC61AF2D5DA4E3A16A8C73BBBA27988E24158EC44A79C2730128ACE0","2026-05-23T17:24:19"
"web-page","pmc4821477_pdf_challenge_response.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC4821477/pdf/nihms-745056.pdf","C:\project\saerok-memory\cognitve-reference\web-pages\pmc4821477_pdf_challenge_response.html","saved_challenge_html","NCBI PDF endpoint returned a browser challenge HTML, not a PDF; saved to explain the download limitation.","21199","664F19FE1364BCBE31B7EDA49F62BD9EEDB2356E8B966182D31857800974A91D","2026-05-23T17:24:19"
"web-page","pmc4821477_pmc_article.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC4821477/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc4821477_pmc_article.html","saved_html","Public web page saved as HTML evidence.","368326","D0B036893CA27E0C017AA9DF31F1A0FAD704C59CBFFB9739CD4F79F5F250F8F4","2026-05-23T17:24:19"
"web-page","pmc9049046_pdf_challenge_response.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC9049046/pdf/nihms-1797044.pdf","C:\project\saerok-memory\cognitve-reference\web-pages\pmc9049046_pdf_challenge_response.html","saved_challenge_html","NCBI PDF endpoint returned a browser challenge HTML, not a PDF; saved to explain the download limitation.","21199","F850C85EC5FB5A8FC7400897FD7BDCAA29E839068699BCE07F8FCB0D2071A896","2026-05-23T17:24:19"
"web-page","pmc9049046_pmc_article.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC9049046/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc9049046_pmc_article.html","saved_html","Public web page saved as HTML evidence.","184335","F37CACE265C54DAA28320DBF9F2B5AB07CFB8DCA7853234AC38E02C378E89C3B","2026-05-23T17:24:19"
"web-page","pmc9153280_pdf_challenge_response.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC9153280/pdf/nihms-1795044.pdf","C:\project\saerok-memory\cognitve-reference\web-pages\pmc9153280_pdf_challenge_response.html","saved_challenge_html","NCBI PDF endpoint returned a browser challenge HTML, not a PDF; saved to explain the download limitation.","21272","ECA64DC6555F9ABE84AA454837BBAB371B1B7D45BF575C617C7A345C5EBC6E13","2026-05-23T17:24:20"
"web-page","pmc9153280_pmc_article.html","https://pmc.ncbi.nlm.nih.gov/articles/PMC9153280/","C:\project\saerok-memory\cognitve-reference\web-pages\pmc9153280_pmc_article.html","saved_html","Public web page saved as HTML evidence.","205159","42EC5C94153165BB981320A9341E90A5AB878D466953A95EA0B2F3F8468DD809","2026-05-23T17:24:20"
"web-page","proed_boston_naming_test.html","https://proedinc.com/products-11870.html","C:\project\saerok-memory\cognitve-reference\web-pages\proed_boston_naming_test.html","saved_html","Public web page saved as HTML evidence.","131709","6A848F81E940F8431FDD06F4DDACBABCC75BA98E0E1C5652903DEBA48C6CED92","2026-05-23T17:24:20"
"web-page","sage_official.html","https://wexnermedical.osu.edu/brain-spine-neuro/memory-disorders/sage","C:\project\saerok-memory\cognitve-reference\web-pages\sage_official.html","saved_html","Public web page saved as HTML evidence.","103011","5D5D07374E5558674E3D437F0EA33F334C5E64F5BB587ED83464DC0F7E6FBC60","2026-05-23T17:24:20"
"web-page","slums_official.html","https://www.slu.edu/medicine/internal-medicine/geriatric-medicine/aging-successfully/mental-status-exam.php","C:\project\saerok-memory\cognitve-reference\web-pages\slums_official.html","saved_html","Public web page saved as HTML evidence.","110376","711542B875BB084DDBB234FCAAA0AF8FC09752BB762AB8FAF5652F4643977707","2026-05-23T17:24:20"
"web-page","springer_verbal_fluency.html","https://link.springer.com/rwe/10.1007/978-0-387-79948-3_1423","C:\project\saerok-memory\cognitve-reference\web-pages\springer_verbal_fluency.html","saved_html","Public web page saved as HTML evidence.","269150","1948E600BB37686087CAA06F1D66FA1B6B974003A1D71FDC5C1E1C8909E844D7","2026-05-23T17:24:20"
"web-page","sydney_ace_official.html","https://www.sydney.edu.au/brain-mind/our-clinics/dementia-test.html","C:\project\saerok-memory\cognitve-reference\web-pages\sydney_ace_official.html","saved_html","Public web page saved as HTML evidence.","116345","449BD4B2EC8067C70391EBA127954B4BA13E753A96491F2E6BBD9B7E91821333","2026-05-23T17:24:20"
"web-page","wps_stroop.html","https://www.wpspublish.com/stroop-color-word-test-normative-update.html","C:\project\saerok-memory\cognitve-reference\web-pages\wps_stroop.html","saved_html","Public web page saved as HTML evidence.","290390","4E32A9FE07DC07295FF2910FA18D8E6E42CE919A44D410F13C967EDD5198CC21","2026-05-23T17:24:20"
"web-page","zenodo_ncpt_record.html","https://zenodo.org/records/7249732","C:\project\saerok-memory\cognitve-reference\web-pages\zenodo_ncpt_record.html","saved_html","Public web page saved as HTML evidence.","101699","5E7F4F0F6B2028D6737F8657B169D6815493446A0B9D75C363BD6C90FAE815C6","2026-05-23T17:24:20"
"restricted-or-failed","MMSE nonofficial educational PDF","https://cgatoolkit.ca/Uploads/ContentDocuments/MMSE.pdf","","not_downloaded","Download attempt failed because the remote server could not be reached from this environment.","","","2026-05-23T17:24:20"
"restricted-or-failed","MDPI 2022 Five Word Test adaptation PDF","https://www.mdpi.com/2308-3417/7/2/49/pdf","","not_downloaded","Download attempt returned HTTP 403. Article page/source should be checked manually if this PDF is required.","","","2026-05-23T17:24:20"
"restricted-or-failed","SAGE DOI PDF attempt for Five Word Test validation","https://journals.sagepub.com/doi/pdf/10.1177/0891988712445088","","not_downloaded","Download attempt returned HTTP 403. Do not bypass publisher access controls.","","","2026-05-23T17:24:20"
"restricted-or-failed","Verbal Fluency PMC9153280 PDF","https://europepmc.org/articles/PMC9153280?pdf=render","","not_downloaded","Europe PMC render returned HTTP 500; NCBI PDF endpoint returned browser challenge HTML, so article HTML was saved instead.","","","2026-05-23T17:24:20"
"restricted-or-failed","AI-assisted dementia CDT PMC9049046 PDF","https://europepmc.org/articles/PMC9049046?pdf=render","","not_downloaded","Europe PMC render returned HTTP 500; NCBI PDF endpoint returned browser challenge HTML, so article HTML was saved instead.","","","2026-05-23T17:24:20"
"restricted-or-failed","Digital Clock Drawing ML PMC4821477 PDF","https://europepmc.org/articles/PMC4821477?pdf=render","","not_downloaded","Europe PMC render returned HTTP 500; NCBI PDF endpoint returned browser challenge HTML, so article HTML was saved instead.","","","2026-05-23T17:24:20"
"restricted-or-failed","MMSE original paper PDF","https://pubmed.ncbi.nlm.nih.gov/1202204/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","MoCA original paper PDF","https://pubmed.ncbi.nlm.nih.gov/15817019/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","AD8 original paper PDF","https://pubmed.ncbi.nlm.nih.gov/16116116/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","ACE-R original paper PDF","https://pubmed.ncbi.nlm.nih.gov/16977673/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","SAGE original paper PDF","https://pubmed.ncbi.nlm.nih.gov/20220323/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","ACE-III original paper PDF","https://pubmed.ncbi.nlm.nih.gov/23949210/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","Clock Drawing Test 2018 meta-analysis PDF","https://pubmed.ncbi.nlm.nih.gov/30047147/","","not_downloaded","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF.","","","2026-05-23T17:24:20"
"restricted-or-failed","Commercial CANTAB tool materials","https://cambridgecognition.com/digital-cognitive-assessments/","","not_downloaded","Commercial page saved as HTML; copyrighted tool materials were not downloaded.","","","2026-05-23T17:24:20"
"restricted-or-failed","Commercial RAVLT materials","https://www.parinc.com/products/RAVLT","","not_downloaded","Commercial page saved as HTML; copyrighted materials were not downloaded.","","","2026-05-23T17:24:20"
"restricted-or-failed","Commercial CVLT materials","https://www.pearsonclinical.co.uk/en-gb/cvlt-ii/California-Verbal-Learning-Test-%7C-Third-Edition/p/P100009129","","not_downloaded","Commercial page saved as HTML; copyrighted materials were not downloaded.","","","2026-05-23T17:24:20"
