"relative_path","bytes","sha256","last_write_time"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Grammer/Question8.gram","148","87AE5F5C3CE3C34D500CEE51403E36D8A337CB006CAEBDE60CD5DB0C051F35C3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Grammer/Question9.gram","82","8AC15D55FA427A6B81FB1B34A0EABE48CB9EB5A5306A209557F20D8AD3A63418","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Grammer/Tutorial.gram","80","5A90764A9BD39F0556961E9760108F78A4A5FEDB8F6F7D135F61B1B1B09D474D","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/Defi Logo.png","326925","2875AFBF266112991B306DCCBC88F19136ABCDEC6A2C080947C3F7225D59DB53","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/arrowRight.png","2032","8296DEB566BBFD60527D68F56B54C35521FBACDFD85667BD8EB0B4FF3FF7834A","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/background.png","46033","6640F60DA43EAB42482CE9837CC3FB0404310FD135EE406621AE5472D0574867","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/camera.png","1894","79C4C2E5EF2F805E677B3E644085D5726FDCA464458498666E237F7CD671F933","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/chair.png","66714","F1893DFAE78F281029F9AA77C8A36A3E54CCF4AE66487742BA46A35D0BE9D989","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/checkmark.png","12805","288BC55C03E00C1983DCD62412AD09756F8E590AE31AC5ED1C648B39EA5B37ED","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/clock.jpg","12665","5A42676D304B5C190999FB721453A8C2B4F7710489D9BEFB7ACED7314094CCC8","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/close.png","1042","65CB4710C1E7D28D6CEA1061879F3B5D328A0F2FEF631EA08EEA4D7351F7C4B4","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/compass.png","32659","022F6FBAE9284D54CE5F3998D920F3EB0D64DE3B27C5C7D0532ECCBE1AFFDC51","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/folder.png","1851","08200214D37F49AE4FBE22C0CA623DC16B891BFF1FB8614516954297DD5C670E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/greentick.png","8142","D26441E792CCFBC89E46227431F9E0DF1E6CE84B73F443DEF62E0CFA360DB47E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/greenticksmall.png","1890","347BA2E3BDDF6E41CEAC07177FD1E11AD27A033BC1265272C7C3840C53D122D0","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/home.png","640","196B26E39DAC90F63427D24807C159E1FF87E54E80F6BB5DEAA6A8E443F71DC3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/kucuklogo.png","18903","E9BFC380DF17C0D2D87DEA7776E9894A9B5AFE5ED3E9B95637E83DF42B93DAB5","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/logo.png","38472","6D96E751A45F7EB7720DFF87A035673D79C78C9ED86035F08527EBA4421C72D3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/map.png","33916","546B50534E249320580901FCDA5E46BD3B93D558D9D69600CE4079A242883604","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/microphone.png","2134","B084FFA4D55C5DF62EE7BD974BB92E2E04B0DDA282A8E2AC201213B550AB946A","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/pdficon.png","21813","98AC2A64AB11F0DF8D75C2EA2E3DDC1BE3CB371FECDF0C9AABFAB616AF0E2FB2","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/play.png","2235","6650568EDB1516300DF235667F50B4B969E2897EEFE3D72DA65CCCE5F55BF6CC","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/polygon_illiterate.png","14929","EA6D7E9984E9052CC42B7ABE4EC0FE2C14A98B1C6799D0903228D675D5F5A2C6","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/polygon_literate.png","12320","9FB65D2F343F2E99EC9EF1D135A9102E18C186DFF6F625610D857D88804542A9","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/record.png","7654","122EA5D1CE82E69A7A2C8646A6379DCB35AAFE90D0808B47186C12DCAACF2DCF","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/staricon.png","660","B13F3A97B9B736500EA6AB3E4E6CC68276530C059CC36F9CCB768AAC34052983","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/tick.png","2996","8F676B00DFE35EFC6413F469DFA03B650A62B5FC572B1B52D591338F509586A1","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Images/warningicon.png","659","02F0382CC6ADAF4E1BAA66C34E778D2879D4DA8722D5C0D5ADE0035D28437A1F","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/NeuralNetwork/NeuralNetwork_Perceptron.nnet","111381","71DCEE05521BA7112155C1610E69F850EE1D177A027F82E4F7FF7D8FC3E1DC2B","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/NeuralNetwork/numbers_data.txt","849069","E60E8F5B5D123C133B374B6E4C387F592AD3C23C668BA8B49DA59F3DEEA6E565","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/1.wav","273464","79C051469B9A346F2D37FEA86EE5C290AA60104E6FF872DB103062C6A0842AD0","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/10.wav","529244","CABAC7089B616672AC3FA77D3A7B12DC0F996112D3894EB5AA1B49ACC4944A69","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/11.wav","582164","4D5F2021404D17A798C4BEB7B98E512FE29D6E966827A1C2BCB7116764DC45B4","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/12.wav","229364","132313B63DA5B26C75ECA7EBD651A12407E597719600344209049D448229D94B","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/13.wav","273464","BA47D521D5DFC769C35A7658715F676717EDA6A8DB657673A2CB6EDE0A262540","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/14.wav","388124","0B864188793BF37EB0161738155F1F19E73D48C3E69605FB615FD32F7F974DC3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/15.wav","370484","5F1B70B15E33B6D989DF4996D9FC1665880982CE1F269F90915407E36D010E73","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/16.wav","714464","0298FF0D96DAEC66ED159AEAC570CB623FA46CAED0798EFDADBD728CF184C8B5","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/17.wav","264644","3050C360BEAF354E64D6A165E5306EAAD01C403B431A3A5B1FF461F1920DEC90","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/18.wav","890864","E44447E35DFB97BC7A3B48EF21D0F65EA3D7F3C37333F983292119539E8149D2","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/19.wav","476324","DED6189694594C89EF5EF71E69348BCA3514AF703C504CD61A2DD1B73371B014","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/2.wav","211724","3CFBDEA8FD66C93D2D2CC0F9715782F02C3271D016B5C7CB6FC0738F0BF88302","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/20.wav","837944","CFFB976A238F914494BF9ED99C3FE1EB8392C0F46F580BE47501EBFEDB14CBE1","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/3.wav","538064","519BE2CAE0CD7D7D2DCF53851D33C1AF6C18532EB5E71A0A234DE367A7A18438","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/4.wav","220544","BAC5023C54EC7D9C2CF7C4941A4326EF903D5E277A4C7C97D09159ACBD68849C","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/5.wav","255824","97362F4DC8BC01B23562B692C4C24CD23903B3683323C4D571B8A7301DD3F31E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/6.wav","723284","C63F03FBA95C8E06E66C5333F1281FBF9D3C678544C8B0A8C52809395842A530","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/7.wav","1120184","C441F7860B77036A51D68001234CDD9AF4787754F6F4C0B62434A6A9C52E3F9E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/8.wav","529244","DDEE233B48D143171AF5A9AFAD3ABFACF7630D16116FF2A61688B338F74A3555","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/9.wav","573344","F1FE72284B3DD384FFE86D1B5B6F65D3E51C2D9DE75EDF72858E7B52F40C3459","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/README.txt","2026","87EFC293756F187B9DC8D2E8AE11BB0A2444C22968520A25F373218E91E1EB1D","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/Resources/Questions/Sound_Check.wav","344024","9A3DFFB16F94940874DDE598799021EE4509FA5CF5EA0B6F3B3133B569E855E3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/.gitignore","171","79FC2931C4D54AA3778410F3CD0001BCF3B7BF53A47E44577EAB32BCD3AED17C","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question1.gram","771","A353C5001106AF9408BAC2DDBE94C778F583583193B163884263FA419E7FC7B7","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question10.gram","132","4DA9DDBF3C46E3DE7A759C6D03F1F036CCC29C46CE369E14114B97B8598F50FD","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question11.gram","87","39BFA35A437F9C1F6ADE993026011D6147B09B865AD1AB7389B24B50564153EC","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question12.gram","71","32984D6357FE192A4207C1D8C2ACBF0BEA96A2D51560D63A93C475D2AC67ECD3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question18.gram","136","CC3B762531429094BFB5E5C21EFA3BC8441D68E50793E7758C387C285838B8C8","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question19.gram","97","4EA9E684A1F1CD1D7FC0B14BF69830153E5E28C1B8EE1F384828C91E90963D9F","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question2.gram","95","CF8A036B37AC04552B2985629B7AB28EE1255C069F30FA9190B5CA5ECD611470","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question3.gram","7369","03EC389441F70544DC3D30E4D148707C0CE3EBFC0B4208BA503B0EB8FC07A863","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question4.gram","131","82734A43DB376E4565643FEA1D859F58942838155256202621CBAADF5004452F","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question5.gram","171","8819B33BE5C853B9A8D0B70D4C1718782007FF0BBF14093143A20FA9A00A330E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question6.gram","101","EAC17750034C23566CE8311BF262E8F5CCBE6E7F5C0D7269C8B05AC9DE7E326E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question7.gram","82","EC7206F521F0F18472F297E636B80378291DB7727279A53F9C03EB79E4C01CA8","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question8.gram","148","87AE5F5C3CE3C34D500CEE51403E36D8A337CB006CAEBDE60CD5DB0C051F35C3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Question9.gram","82","8AC15D55FA427A6B81FB1B34A0EABE48CB9EB5A5306A209557F20D8AD3A63418","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Grammer/Tutorial.gram","80","5A90764A9BD39F0556961E9760108F78A4A5FEDB8F6F7D135F61B1B1B09D474D","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/ImageProcessing/application/ImageRecognition.fxml","3025","55B6399D55390841B1792F524AB675A7FBD0F4A033A8455FC9AAC31CF97F1FF9","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/ImageProcessing/application/application.css","101","A3B6C4C243330C07570A2188E45773E9307A422D10937F92FFFD3F204B2DFF6D","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/Defi Logo.png","326925","2875AFBF266112991B306DCCBC88F19136ABCDEC6A2C080947C3F7225D59DB53","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/arrowRight.png","2032","8296DEB566BBFD60527D68F56B54C35521FBACDFD85667BD8EB0B4FF3FF7834A","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/background.png","46033","6640F60DA43EAB42482CE9837CC3FB0404310FD135EE406621AE5472D0574867","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/camera.png","1894","79C4C2E5EF2F805E677B3E644085D5726FDCA464458498666E237F7CD671F933","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/chair.png","66714","F1893DFAE78F281029F9AA77C8A36A3E54CCF4AE66487742BA46A35D0BE9D989","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/checkmark.png","12805","288BC55C03E00C1983DCD62412AD09756F8E590AE31AC5ED1C648B39EA5B37ED","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/clock.jpg","12665","5A42676D304B5C190999FB721453A8C2B4F7710489D9BEFB7ACED7314094CCC8","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/close.png","1042","65CB4710C1E7D28D6CEA1061879F3B5D328A0F2FEF631EA08EEA4D7351F7C4B4","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/compass.png","32659","022F6FBAE9284D54CE5F3998D920F3EB0D64DE3B27C5C7D0532ECCBE1AFFDC51","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/folder.png","1851","08200214D37F49AE4FBE22C0CA623DC16B891BFF1FB8614516954297DD5C670E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/greentick.png","8142","D26441E792CCFBC89E46227431F9E0DF1E6CE84B73F443DEF62E0CFA360DB47E","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/greenticksmall.png","1890","347BA2E3BDDF6E41CEAC07177FD1E11AD27A033BC1265272C7C3840C53D122D0","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/home.png","640","196B26E39DAC90F63427D24807C159E1FF87E54E80F6BB5DEAA6A8E443F71DC3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/kucuklogo.png","18903","E9BFC380DF17C0D2D87DEA7776E9894A9B5AFE5ED3E9B95637E83DF42B93DAB5","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/logo.png","38472","6D96E751A45F7EB7720DFF87A035673D79C78C9ED86035F08527EBA4421C72D3","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/map.png","33916","546B50534E249320580901FCDA5E46BD3B93D558D9D69600CE4079A242883604","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/microphone.png","2134","B084FFA4D55C5DF62EE7BD974BB92E2E04B0DDA282A8E2AC201213B550AB946A","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/pdficon.png","21813","98AC2A64AB11F0DF8D75C2EA2E3DDC1BE3CB371FECDF0C9AABFAB616AF0E2FB2","2026-05-23T17:09:25"
"code/COBsquare__Dementia-Examiner-for-Individuals/bin/Images/play.png","2235","6650568EDB1516300DF235667F50B4B969E2897EEFE3D72DA65CCCE5F55BF6CC","2026-05-23T17:09:25"
