"report_url","coverage_status","manifest_status","manifest_name","local_path","notes"
"https://github.com/expfactory-experiments/stroop-5min","covered","cloned","expfactory-experiments__stroop-5min","C:\project\saerok-memory\cognitve-reference\code\expfactory-experiments__stroop-5min","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/flowersteam/cognitive-testbattery","covered","cloned","flowersteam__cognitive-testbattery","C:\project\saerok-memory\cognitve-reference\code\flowersteam__cognitive-testbattery","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/GEJ1/jsPsych_online_TMT","covered","cloned","GEJ1__jsPsych_online_TMT","C:\project\saerok-memory\cognitve-reference\code\GEJ1__jsPsych_online_TMT","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/med-material/Trail-it","covered","cloned","med-material__Trail-it","C:\project\saerok-memory\cognitve-reference\code\med-material__Trail-it","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/NeuroLIAA/tmt-analysis","covered","cloned","NeuroLIAA__tmt-analysis","C:\project\saerok-memory\cognitve-reference\code\NeuroLIAA__tmt-analysis","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/noc-lab/CDT","covered","cloned","noc-lab__CDT","C:\project\saerok-memory\cognitve-reference\code\noc-lab__CDT","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/trebledawson/Alzheimers-Clock-Drawing","covered","cloned","trebledawson__Alzheimers-Clock-Drawing","C:\project\saerok-memory\cognitve-reference\code\trebledawson__Alzheimers-Clock-Drawing","Public GitHub repository cloned with shallow history for reference only."
"https://github.com/triforce4392/MoCA","covered","cloned","triforce4392__MoCA","C:\project\saerok-memory\cognitve-reference\code\triforce4392__MoCA","Public GitHub repository cloned with shallow history for reference only."
"https://gpcog.com.au/","covered","downloaded_pdf","Brodaty 2002 GPCOG original paper","C:\project\saerok-memory\cognitve-reference\papers\brodaty_2002_gpcog.pdf","PDF signature verified during final validation."
"https://gpcog.com.au/uploads/ckfinder/userfiles/files/Brodaty2002%20The%20GPCOG.pdf","covered","downloaded_pdf","Brodaty 2002 GPCOG original paper","C:\project\saerok-memory\cognitve-reference\papers\brodaty_2002_gpcog.pdf","PDF signature verified during final validation."
"https://gpcog.com.au/uploads/ckfinder/userfiles/files/English.pdf","covered","downloaded_pdf","GPCOG English form","C:\project\saerok-memory\cognitve-reference\official-tools\gpcog_english.pdf","PDF signature verified during final validation."
"https://journals.sagepub.com/doi/10.1177/0891988712445088","covered","not_downloaded","SAGE Five Word Test article page","","Local download attempt returned HTTP 403; do not bypass publisher access controls. Browser search could view article metadata/abstract, but no local file could be saved through available shell download tools."
"https://knightadrc.wustl.edu/professionals-clinicians/ad8-instrument/","covered","saved_html","ad8_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\ad8_official.html","Public web page saved as HTML evidence."
"https://link.springer.com/rwe/10.1007/978-0-387-79948-3_1423","covered","saved_html","springer_verbal_fluency.html","C:\project\saerok-memory\cognitve-reference\web-pages\springer_verbal_fluency.html","Public web page saved as HTML evidence."
"https://mocacognition.com/","covered","saved_html","moca_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\moca_official.html","Public web page saved as HTML evidence."
"https://pearson.my.site.com/usclinical/s/article/BNT-Administration-Scoring-and-Normative-Data-Request","covered","saved_html","pearson_bnt_normative_request.html","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_bnt_normative_request.html","Public web page saved as HTML evidence."
"https://pmc.ncbi.nlm.nih.gov/articles/PMC5388755/","covered","saved_html","PMC5388755 article page","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5388755_pmc_article.html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint."
"https://pmc.ncbi.nlm.nih.gov/articles/PMC5619209/","covered","saved_html","PMC5619209 article page","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5619209_pmc_article.html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint."
"https://pmc.ncbi.nlm.nih.gov/articles/PMC5632878/","covered","saved_html","PMC5632878 article page","C:\project\saerok-memory\cognitve-reference\web-pages\pmc5632878_pmc_article.html","Original report PMC article page saved; paper PDF is also archived through Europe PMC render endpoint."
"https://pmc.ncbi.nlm.nih.gov/articles/PMC9153280/","covered","saved_challenge_html","pmc9153280_pdf_challenge_response.html","C:\project\saerok-memory\cognitve-reference\web-pages\pmc9153280_pdf_challenge_response.html","NCBI PDF endpoint returned a browser challenge HTML, not a PDF; saved to explain the download limitation."
"https://proedinc.com/products-11870.html","covered","saved_html","proed_boston_naming_test.html","C:\project\saerok-memory\cognitve-reference\web-pages\proed_boston_naming_test.html","Public web page saved as HTML evidence."
"https://pubmed.ncbi.nlm.nih.gov/1202204/","covered","not_downloaded","MMSE original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/15817019/","covered","not_downloaded","MoCA original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/16116116/","covered","not_downloaded","AD8 original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/16977673/","covered","not_downloaded","ACE-R original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/20220323/","covered","not_downloaded","SAGE original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/23949210/","covered","not_downloaded","ACE-III original paper PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pubmed.ncbi.nlm.nih.gov/30047147/","covered","not_downloaded","Clock Drawing Test 2018 meta-analysis PDF","","PubMed metadata saved; NCBI ID converter did not find a public PMC full-text PDF."
"https://pure.johnshopkins.edu/en/publications/the-telephone-interview-for-cognitive-status-3/","covered","saved_html","johns_hopkins_tics.html","C:\project\saerok-memory\cognitve-reference\web-pages\johns_hopkins_tics.html","Public web page saved as HTML evidence."
"https://wexnermedical.osu.edu/-/media/files/wexnermedical/patient-care/healthcare-services/brain-spine-neuro/memory-disorders/sage/us/sage_form1_us_2021.pdf?hash=A86118A320EC3A29BAC15B8D299392CA&rev=e74c7aa83b7e40c5b4570293a2221b41","covered","downloaded_pdf","SAGE form 1 US 2021","C:\project\saerok-memory\cognitve-reference\official-tools\sage_form1_us_2021.pdf","PDF signature verified during final validation."
"https://wexnermedical.osu.edu/-/media/files/wexnermedical/patient-care/healthcare-services/brain-spine-neuro/memory-disorders/sage/us/sage_scoringinstructions_usuk_2021.pdf?hash=43974E719E562B76BD768DC8ECBE4EF3&rev=8d285147c07e4464816b5a06d24033f2","covered","downloaded_pdf","SAGE scoring instructions US UK 2021","C:\project\saerok-memory\cognitve-reference\official-tools\sage_scoringinstructions_usuk_2021.pdf","PDF signature verified during final validation."
"https://wexnermedical.osu.edu/brain-spine-neuro/memory-disorders/sage","covered","saved_html","sage_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\sage_official.html","Public web page saved as HTML evidence."
"https://www.concordia.ca/content/dam/artsci/research/caplab/docs/Julayanontetal2013MoCAreview.pdf","covered","downloaded_pdf","Julayanont 2013 MoCA review","C:\project\saerok-memory\cognitve-reference\papers\julayanont_2013_moca_review.pdf","PDF signature verified during final validation."
"https://www.ianindia.org/uploads/files/TMT.norms.pdf","covered","downloaded_pdf","TMT norms PDF","C:\project\saerok-memory\cognitve-reference\papers\tmt_norms_ianindia.pdf","PDF signature verified during final validation."
"https://www.mdpi.com/2308-3417/7/2/49","covered","downloaded_pdf","MDPI 2022 Five Word Test adaptation PDF report URL alias","C:\project\saerok-memory\cognitve-reference\papers\mdpi_2022_five_word_test_adaptation.pdf","The report article URL returned HTTP 403 locally, but the same article PDF was downloaded from MDPI public resource host and stored at this local path."
"https://www.parinc.com/products/MMSE","covered","saved_html","par_mmse_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\par_mmse_official.html","Public web page saved as HTML evidence."
"https://www.parinc.com/products/RAVLT","covered","saved_html","par_ravlt.html","C:\project\saerok-memory\cognitve-reference\web-pages\par_ravlt.html","Public web page saved as HTML evidence."
"https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fourth-Edition/p/100000392","covered","saved_html","pearson_wais_iv.html","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_wais_iv.html","Public web page saved as HTML evidence."
"https://www.pearsonclinical.co.uk/en-gb/cvlt-ii/California-Verbal-Learning-Test-%7C-Third-Edition/p/P100009129","covered","saved_html","pearson_cvlt_3.html","C:\project\saerok-memory\cognitve-reference\web-pages\pearson_cvlt_3.html","Public web page saved as HTML evidence."
"https://www.researchgate.net/publication/6416422_Administration_and_interpretation_of_Trail_Making_Test","covered","not_downloaded","ResearchGate TMT article page","","Local download attempt returned HTTP 403. A Gale public full-text page for the same Nature Protocols article was saved separately as an alternative reference."
"https://www.slu.edu/medicine/internal-medicine/geriatric-medicine/aging-successfully/mental-status-exam.php","covered","saved_html","slums_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\slums_official.html","Public web page saved as HTML evidence."
"https://www.slu.edu/medicine/internal-medicine/geriatric-medicine/aging-successfully/-pdf/slums-form.pdf","covered","downloaded_pdf","SLUMS form","C:\project\saerok-memory\cognitve-reference\official-tools\slums_form.pdf","PDF signature verified during final validation."
"https://www.sydney.edu.au/brain-mind/our-clinics/dementia-test.html","covered","saved_html","sydney_ace_official.html","C:\project\saerok-memory\cognitve-reference\web-pages\sydney_ace_official.html","Public web page saved as HTML evidence."
"https://www.sydney.edu.au/content/dam/corporate/documents/brain-and-mind-centre/june19/ACE-III%20ScoringUK2017.pdf","covered","downloaded_pdf","ACE III scoring UK 2017","C:\project\saerok-memory\cognitve-reference\official-tools\ace_iii_scoring_uk_2017.pdf","PDF signature verified during final validation."
"https://www.wpspublish.com/stroop-color-word-test-normative-update.html","covered","saved_html","wps_stroop.html","C:\project\saerok-memory\cognitve-reference\web-pages\wps_stroop.html","Public web page saved as HTML evidence."
